Pstate,Cstate,Operations
"2,2,8,4","4,8,2,2","r,r,n"
"2,2,8,4","2,4,2,8","r,n"
"2,2,8,4","8,4,2,2","x,n"
"2,2,8,4","4,2,8,2","r,y,n"
"2,2,8,4","8,4,16,4","r,y,d,n"
"2,2,8,4","8,16,4,4","r,r,d,n"
"2,2,8,4","4,4,8,16","y,d,n"
"2,2,8,4","4,16,4,8","r,x,d,n"
"2,2,8,4","16,8,4,4","x,d,n"
"4,2,8,4","4,8,2,4","r,r,n"
"4,2,8,4","2,4,4,8","r,n"
"4,2,8,4","8,4,4,2","x,n"
"4,2,8,4","8,16,4,8","r,r,d,n"
"4,2,8,4","8,4,16,8","d,n"
"2,2,0,2","2,0,2,2","r,r,n"
"2,2,0,2","2,2,2,0","r,n"
"2,2,0,2","0,2,2,2","x,n"
"2,2,0,2","4,0,4,4","r,r,d,n"
"2,2,0,2","4,4,4,0","r,d,n"
"2,2,0,2","0,4,4,4","x,d,n"
"2,2,0,2","4,4,0,4","d,n"
"4,2,2,0","0,2,2,4","r,r,n"
"4,2,2,0","2,0,4,2","r,n"
"4,2,2,0","0,4,4,8","r,r,d,n"
"4,2,2,0","2,4,0,2","y,n"
"4,2,2,0","8,4,4,0","d,n"
"4,2,2,0","4,0,8,4","r,d,n"
"4,2,2,0","4,8,0,4","y,d,n"
"0,2,2,0","2,0,0,2","r,n"
"0,2,2,0","4,0,0,4","r,d,n"
"0,2,2,0","0,4,4,0","d,n"
"4,2,2,4","2,4,4,2","r,n"
"4,2,2,4","4,8,8,4","r,d,n"
"4,2,2,4","8,4,4,8","d,n"
"2,0,4,0","0,4,0,2","r,r,n"
"2,0,4,0","4,2,0,0","r,r,r,n"
"2,0,4,0","0,0,4,2","r,y,n"
"2,0,4,0","2,4,0,0","r,x,n"
"2,0,4,0","4,0,2,0","x,n"
"2,0,4,0","0,2,0,4","y,n"
"2,0,4,0","0,0,2,4","r,n"
"2,0,4,0","8,4,0,0","r,r,r,d,n"
"2,0,4,0","0,0,8,4","r,y,d,n"
"2,0,4,0","4,0,8,0","d,n"
"2,0,4,0","0,8,0,4","r,r,d,n"
"2,0,4,0","4,8,0,0","r,x,d,n"
"2,4,0,4","4,4,2,0","r,n"
"2,4,0,4","0,4,2,4","x,n"
"2,4,0,4","4,0,4,2","r,r,n"
"2,4,0,4","0,2,4,4","r,r,r,n"
"2,4,0,4","4,4,0,2","r,y,n"
"2,4,0,4","2,0,4,4","r,x,n"
"2,4,0,4","4,2,4,0","y,n"
"2,4,0,4","8,8,4,0","r,d,n"
"2,4,0,4","0,8,4,8","x,d,n"
"2,4,0,4","4,0,8,8","r,x,d,n"
"2,4,0,4","0,4,8,8","r,r,r,d,n"
"2,4,0,4","4,8,0,8","d,n"
"2,4,4,4","4,2,4,4","y,n"
"2,4,4,4","4,4,4,2","r,r,n"
"2,4,4,4","4,4,2,4","r,n"
"2,4,8,2","8,2,2,4","x,n"
"2,4,8,2","4,2,2,8","r,n"
"2,4,8,2","2,8,4,2","r,r,n"
"2,4,8,2","4,8,16,4","d,n"
"2,4,8,2","4,16,8,4","r,r,d,n"
"2,4,8,2","8,4,4,16","r,d,n"
"8,0,2,2","2,8,2,0","r,r,r,n"
"8,0,2,2","0,16,4,4","y,d,n"
"8,0,2,2","2,2,0,8","r,r,n"
"8,0,2,2","8,2,0,2","r,x,n"
"8,0,2,2","0,8,2,2","y,n"
"8,0,2,2","2,2,8,0","x,n"
"8,0,2,2","4,0,4,16","r,y,d,n"
"8,0,2,2","0,2,8,2","r,n"
"8,0,2,2","2,0,2,8","r,y,n"
"8,0,2,2","4,4,16,0","x,d,n"
"8,0,2,2","4,16,4,0","r,r,r,d,n"
"8,0,2,2","4,4,0,16","r,r,d,n"
"8,0,2,2","16,4,0,4","r,x,d,n"
"8,0,2,2","16,0,4,4","d,n"
"2,0,0,4","0,4,2,0","r,n"
"2,0,0,4","0,2,4,0","y,n"
"2,0,0,4","4,0,0,2","r,r,n"
"2,0,0,4","0,4,8,0","y,d,n"
"2,0,0,4","0,8,4,0","r,d,n"
"2,8,2,8","2,2,8,8","r,x,n"
"2,8,2,8","8,8,2,2","r,n"
"2,8,2,8","8,2,8,2","y,n"
"4,16,2,0","4,2,16,0","r,x,n"
"4,16,2,0","2,4,0,16","r,r,r,n"
"4,16,2,0","0,16,2,4","r,y,n"
"4,16,2,0","16,4,0,2","y,n"
"4,16,2,0","2,0,4,16","x,n"
"4,16,2,0","16,0,4,2","r,n"
"4,16,2,0","0,2,16,4","r,r,n"
"4,2,2,16","2,4,16,2","y,n"
"4,2,2,16","2,16,4,2","r,n"
"4,2,2,16","16,2,2,4","r,r,n"
"2,0,4,8","2,4,0,8","r,x,n"
"2,0,4,8","8,4,0,2","r,r,n"
"2,0,4,8","4,2,8,0","r,r,r,n"
"2,0,4,8","0,16,4,8","r,d,n"
"2,0,4,8","0,2,8,4","y,n"
"2,0,4,8","8,0,4,2","r,y,n"
"2,0,4,8","4,8,2,0","x,n"
"2,0,4,8","0,8,2,4","r,n"
"2,0,4,8","4,8,0,16","r,x,d,n"
"2,0,4,8","4,0,8,16","d,n"
"2,0,4,8","8,16,4,0","x,d,n"
"2,0,4,8","8,4,16,0","r,r,r,d,n"
"8,2,0,4","2,8,4,0","y,n"
"8,2,0,4","8,0,2,4","r,x,n"
"8,2,0,4","0,8,4,2","r,r,r,n"
"8,2,0,4","0,4,8,2","x,n"
"8,2,0,4","4,0,2,8","r,r,n"
"8,2,0,4","4,2,0,8","r,y,n"
"8,2,0,4","2,4,8,0","r,n"
"2,4,4,0","4,2,0,4","y,n"
"2,4,4,0","0,4,4,2","r,r,n"
"2,4,4,0","4,0,2,4","r,n"
"4,2,16,2","2,4,2,16","y,n"
"4,2,16,2","2,16,2,4","r,r,n"
"4,2,16,2","4,16,2,2","r,x,n"
"4,2,16,2","2,2,4,16","r,n"
"4,2,16,2","16,4,2,2","r,r,r,n"
"4,2,16,2","16,2,4,2","x,n"
"4,2,16,2","2,2,16,4","r,y,n"
"4,4,16,2","2,4,16,4","r,y,n"
"4,4,16,2","16,4,2,4","r,r,r,n"
"4,4,16,2","4,2,4,16","r,n"
"4,4,16,2","4,16,4,2","r,x,n"
"4,4,16,2","4,4,2,16","y,n"
"4,4,16,2","16,2,4,4","x,n"
"4,4,16,2","2,16,4,4","r,r,n"
"8,2,16,2","16,8,2,2","r,r,r,n"
"8,2,16,2","2,8,2,16","y,n"
"8,2,16,2","2,2,8,16","r,n"
"8,2,16,2","8,16,2,2","r,x,n"
"8,2,16,2","16,2,8,2","x,n"
"8,2,16,2","2,16,2,8","r,r,n"
"8,2,16,2","2,2,16,8","r,y,n"
"8,4,16,2","16,8,2,4","r,r,r,n"
"8,4,16,2","4,8,2,16","y,n"
"8,4,16,2","4,2,8,16","r,n"
"8,4,16,2","2,16,4,8","r,r,n"
"8,4,16,2","8,16,4,2","r,x,n"
"8,4,16,2","16,2,8,4","x,n"
"16,2,4,8","4,16,8,2","r,r,r,n"
"16,2,4,8","4,8,16,2","x,n"
"16,2,4,8","8,4,2,16","r,r,n"
"16,2,4,8","8,2,4,16","r,y,n"
"16,2,4,8","16,4,2,8","r,x,n"
"16,2,4,8","2,16,8,4","y,n"
"16,2,4,8","2,8,16,4","r,n"
"2,4,8,8","8,4,8,2","r,y,n"
"2,4,8,8","4,8,2,8","r,n"
"2,4,8,8","2,8,4,8","r,x,n"
"2,4,8,8","8,8,2,4","x,n"
"2,4,8,8","4,2,8,8","y,n"
"2,4,8,8","8,8,4,2","r,r,n"
"2,4,8,8","8,2,8,4","r,r,r,n"
"2,4,4,16","4,16,2,4","r,n"
"2,4,4,16","16,4,4,2","r,r,n"
"2,4,4,16","4,2,16,4","y,n"
"0,2,4,16","4,16,0,2","x,n"
"0,2,4,16","2,16,0,4","r,n"
"0,2,4,16","4,0,16,2","r,r,r,n"
"0,2,4,16","0,4,2,16","r,x,n"
"0,2,4,16","16,2,4,0","r,y,n"
"0,2,4,16","16,4,2,0","r,r,n"
"2,8,16,2","8,2,2,16","r,n"
"2,8,16,2","2,16,8,2","r,r,n"
"2,8,16,2","16,2,2,8","x,n"
"8,4,2,8","4,8,8,2","r,n"
"8,4,2,8","2,8,8,4","x,n"
"8,4,2,8","8,2,4,8","r,r,n"
"2,8,0,0","0,0,8,2","r,r,n"
"2,8,0,0","2,0,8,0","r,x,n"
"2,8,0,0","0,8,0,2","r,y,n"
"8,8,2,0","8,2,8,0","r,x,n"
"8,8,2,0","2,8,0,8","r,r,r,n"
"8,8,2,0","0,8,2,8","r,y,n"
"8,8,2,0","0,2,8,8","r,r,n"
"8,8,2,0","8,8,0,2","y,n"
"8,8,2,0","2,0,8,8","x,n"
"8,8,2,0","8,0,8,2","r,n"
"16,0,2,2","0,16,2,2","y,n"
"16,0,2,2","2,16,2,0","r,r,r,n"
"16,0,2,2","0,2,16,2","r,n"
"16,0,2,2","2,2,0,16","r,r,n"
"16,0,2,2","2,0,2,16","r,y,n"
"16,0,2,2","2,2,16,0","x,n"
"16,2,2,2","2,2,16,2","r,n"
"16,2,2,2","2,2,2,16","r,r,n"
"16,2,2,2","2,16,2,2","y,n"
"16,2,2,2","4,4,4,32","r,r,d,n"
"2,4,8,16","2,8,4,16","r,x,n"
"2,4,8,16","8,16,2,4","x,n"
"2,4,8,16","16,4,8,2","r,y,n"
"2,4,8,16","8,2,16,4","r,r,r,n"
"2,4,8,16","4,16,2,8","r,n"
"2,4,8,16","16,8,4,2","r,r,n"
"2,4,8,16","4,2,16,8","y,n"
"2,0,8,16","8,16,2,0","x,n"
"2,0,8,16","0,16,2,8","r,n"
"2,0,8,16","2,8,0,16","r,x,n"
"2,0,8,16","8,2,16,0","r,r,r,n"
"2,0,8,16","0,2,16,8","y,n"
"2,0,8,16","16,0,8,2","r,y,n"
"8,2,16,8","8,16,2,8","r,r,n"
"8,2,16,8","2,8,8,16","r,n"
"8,2,16,8","16,8,8,2","x,n"
"2,0,16,2","0,2,2,16","r,n"
"2,0,16,2","2,16,0,2","r,r,n"
"2,0,16,2","0,4,4,32","r,d,n"
"8,16,0,2","8,0,16,2","r,x,n"
"8,16,0,2","0,8,2,16","r,r,r,n"
"8,16,0,2","0,2,8,16","x,n"
"8,16,0,2","16,2,8,0","r,n"
"8,16,0,2","2,16,0,8","r,y,n"
"8,16,0,2","2,0,16,8","r,r,n"
"16,2,0,4","2,16,4,0","y,n"
"16,2,0,4","4,0,2,16","r,r,n"
"2,16,8,8","8,2,8,16","r,r,r,n"
"2,16,8,8","8,16,8,2","r,y,n"
"2,16,8,8","8,8,16,2","r,r,n"
"2,16,2,16","16,16,2,2","r,n"
"2,16,2,16","16,2,16,2","y,n"
"0,2,4,32","2,32,0,4","r,n"
"0,2,4,32","32,4,2,0","r,r,n"
"4,2,4,32","2,32,4,4","r,n"
"8,2,2,32","2,32,8,2","r,n"
"16,2,2,16","2,16,16,2","r,n"
"2,0,4,32","0,32,2,4","r,n"
"2,32,4,2","32,2,2,4","r,n"
"2,32,4,2","4,2,2,32","x,n"
"2,32,2,4","2,2,4,32","r,r,r,n"
"4,32,2,4","2,4,4,32","x,n"
"2,16,4,16","16,16,2,4","r,n"
"2,4,8,32","2,8,4,32","r,x,n"
