Pstate,Cstate,Operations
"4,8,0,2","8,2,4,0",r
"4,2,8,0","0,8,2,4",rr
"0,4,2,0","4,0,0,2",r
"2,16,4,2","16,2,2,4",r
"4,2,8,2","2,2,4,8",r
"4,4,8,2","4,2,4,8",r
"8,2,8,2","2,2,8,8",r
"2,16,0,4","4,0,16,2",rr
"2,2,4,16","4,2,16,2",rrr
"2,2,2,4","4,8,4,4",rd
"2,2,8,4","4,8,4,16",rd
"2,4,2,4","2,2,4,4",rrr
"4,8,2,0","2,4,0,8",rrr
"2,2,8,4","2,4,2,8",r
"4,8,4,2","4,4,2,8",rrr
"8,2,4,8","8,4,2,8",rr
"0,2,0,2","0,4,0,4",d
"2,4,0,2","4,0,8,4",rrd
"4,8,4,2","2,4,8,4",rr
"0,2,16,4","4,16,2,0",rr
"4,4,2,16","4,16,4,2",r
"16,2,2,8","2,16,8,2",rrr
"4,0,4,2","4,4,2,0",rrr
"2,8,4,0","8,0,2,4",r
"4,2,0,4","0,4,4,2",rrr
"4,2,8,0","2,0,4,8",r
"2,8,0,4","4,0,8,2",rr
"2,2,8,4","8,2,4,2",rrr
"2,2,4,16","16,4,2,2",rr
"4,4,16,2","16,4,2,4",rrr
"2,0,2,2","4,4,0,4",rrd
"4,8,2,4","2,4,4,8",rrr
"2,2,8,4","4,8,2,2",rr
"4,4,4,2","2,4,4,4",rr
"2,0,2,8","2,2,8,0",rrr
"2,16,4,2","4,2,2,16",rrr
"4,4,4,2","4,4,2,4",rrr
"2,2,0,4","0,2,4,2",rrr
"2,0,2,2","0,4,4,4",rd
"0,0,4,2","4,0,2,0",rrr
"16,4,0,2","4,2,16,0",r
"2,2,2,8","4,4,16,4",rrrd
"2,4,4,16","4,16,2,4",r
"0,2,0,2","4,4,0,0",rd
"2,0,2,8","0,8,2,2",r
"0,0,4,2","0,0,8,4",d
"2,2,2,4","4,4,4,8",d
"2,0,2,8","8,2,0,2",rr
"4,2,0,2","4,0,4,8",rrd
"0,2,8,2","2,2,0,8",r
"0,2,8,2","8,0,2,2",rrr
"4,2,0,4","2,4,4,0",r
"8,2,4,8","2,8,8,4",r
"0,2,2,0","0,4,4,0",d
"4,8,0,2","0,4,2,8",rrr
"2,4,4,16","16,4,4,2",rr
"4,8,2,8","8,2,8,4",rr
"4,2,0,2","0,8,4,4",rrrd
"4,0,4,2","8,0,8,4",d
"0,2,16,4","16,0,4,2",rrr
"4,16,2,2","2,2,16,4",rr
"4,4,2,16","2,4,16,4",rrr
"4,4,4,2","4,2,4,4",r
"2,2,2,4","4,4,8,4",rrrd
"2,16,0,4","16,4,2,0",r
"0,4,16,4","4,16,4,0",rr
"4,2,8,0","4,0,8,16",rd
"8,2,16,4","2,4,8,16",r
"2,4,4,16","4,2,16,4",rrr
"8,4,8,2","4,2,8,8",r
"8,0,0,2","0,8,2,0",rrr
"2,4,0,2","8,4,4,0",rd
"4,16,0,2","2,0,16,4",rr
"2,16,4,2","2,4,16,2",rr
"2,4,0,2","0,4,4,8",rrrd
"4,8,2,8","2,4,8,8",rrr
"4,8,2,0","0,2,8,4",rr
"2,4,0,2","4,8,0,4",d
"2,4,2,4","8,4,8,4",rrd
"2,8,2,16","2,2,16,8",rrr
"2,4,2,4","4,4,8,8",rrrd
"0,2,16,8","2,8,0,16",r
"16,2,2,8","2,8,16,2",r
"4,0,2,8","2,4,8,0",rrr
"2,8,4,0","0,4,8,2",rr
"2,0,2,8","4,4,16,0",rrrd
"4,16,0,2","0,4,2,16",rrr
"0,0,8,2","0,2,0,8",r
"4,8,4,0","4,4,0,8",rrr
"2,0,8,8","8,8,0,2",rr
"8,2,4,8","4,8,8,2",rrr
"2,8,2,16","8,16,2,2",r
"2,4,16,8","8,16,4,2",rr
"16,4,0,2","0,16,2,4",rrr
"4,4,16,2","4,2,4,16",r
"8,2,16,2","2,2,8,16",r
"8,0,0,2","2,0,0,8",rr
"8,4,8,2","2,8,4,8",rr
"2,2,2,8","4,16,4,4",rd
"2,2,8,4","8,16,4,4",rrd
"4,8,2,4","8,16,4,8",d
"2,8,0,8","8,0,8,2",rr
"0,2,2,8","16,4,4,0",rrd
"2,2,2,8","16,4,4,4",rrd
"8,2,16,4","16,8,4,2",rrr
"2,2,4,16","2,16,2,4",r
"8,2,4,16","2,16,8,4",r
"4,16,2,2","2,4,2,16",rrr
"16,2,2,8","8,2,2,16",rr
"4,2,8,2","4,16,4,8",rrd
"2,8,0,8","0,2,8,8",rrr
"2,16,0,2","2,0,16,2",rr
"2,16,2,2","2,2,16,2",rr
"4,4,16,2","2,16,4,4",rr
"16,4,0,2","2,0,4,16",rr
"8,2,16,4","4,16,2,8",rr
"4,4,2,16","16,2,4,4",rr
"2,8,2,16","16,2,8,2",rr
"2,4,16,8","16,2,8,4",rrr
"2,8,4,0","4,2,0,8",rrr
"2,0,8,8","8,2,8,0",rrr
"2,16,0,2","16,2,2,0",r
"2,16,2,2","16,2,2,2",r
"8,16,0,2","0,8,2,16",rrr
"2,4,16,8","4,8,2,16",r
"0,2,0,2","0,0,4,4",rrrd
"0,2,2,8","4,16,0,4",rd
"2,4,2,4","4,8,4,8",d
"0,2,16,8","8,16,2,0",rr
"2,2,2,8","4,4,4,16",d
"2,8,4,2","8,4,4,16",rrrd
"2,0,8,8","0,8,2,8",r
"2,16,0,2","0,2,2,16",rrr
"2,16,2,2","2,2,2,16",rrr
"0,0,2,4","0,0,4,8",d
"8,2,4,16","16,4,2,8",rr
"4,8,2,8","8,8,4,2",r
"4,8,2,0","8,16,4,0",d
"4,2,16,8","8,16,2,4",rr
"8,0,0,4","4,0,0,8",rr
"4,2,0,2","8,4,0,4",d
"8,16,2,8","2,8,8,16",rrr
"2,0,2,8","16,4,0,4",rrd
"2,8,0,4","16,8,4,0",rd
"4,16,8,2","16,2,4,8",r
